"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","akhilesh tyagi","nexus-03"
"253.0","458.0","akhilesh tyagi","nexus-03"
"617.0","205.0","akhilesh tyagi","nexus-03"
"461.0","346.0","akhilesh tyagi","nexus-03"
"X","Y","PRESSURE"
"170.875","374.09094","0.057600003"
"174.09172","377.21014","0.55200005"
"177.45235","379.12982","0.55200005"
"181.96278","383.63055","0.5472"
"186.53229","387.27795","0.53760004"
"190.25243","391.063","0.5424"
"194.53351","394.53436","0.55200005"
"198.03656","398.0052","0.5568"
"200.87914","401.36847","0.5568"
"206.06694","407.40045","0.5616"
"208.33636","410.70142","0.56640005"
"210.08766","413.24872","0.5712"
"212.11179","416.19293","0.57600003"
"215.03789","420.44904","0.58080006"
"217.59248","423.29395","0.58080006"
"219.03934","426.89447","0.5856"
"219.95787","430.21075","0.58080006"
"222.05527","433.9557","0.57600003"
"223.45908","436.67828","0.5856"
"225.8205","441.25793","0.5952"
"227.67938","444.07782","0.5952"
"229.28882","446.67896","0.6"
"232.67609","449.7768","0.6096"
"234.33038","452.8067","0.60480005"
"234.63904","455.3711","0.60480005"
"237.4166","458.68683","0.60480005"
"239.87732","461.6695","0.6096"
"243.04004","462.026","0.6096"
"246.3519","464.76398","0.62880003"
"247.84048","467.5705","0.64320004"
"251.35907","468.8241","0.63360006"
"252.17993","471.7998","0.6384"
"254.80804","474.91882","0.62880003"
"254.625","477.82416","0.624"
"257.86948","478.35657","0.624"
"261.42566","476.9076","0.624"
"264.6844","474.90485","0.63360006"
"267.9531","472.7475","0.6144"
"272.51337","469.7995","0.624"
"275.6124","466.4668","0.61920005"
"278.95538","463.2251","0.61920005"
"283.73505","459.33282","0.61920005"
"286.89865","456.1286","0.6144"
"290.9433","452.82202","0.624"
"298.39337","447.3084","0.62880003"
"301.33295","444.55597","0.64320004"
"303.48615","442.46802","0.62880003"
"307.51498","438.56128","0.61920005"
"311.2598","434.92993","0.61920005"
"315.66467","431.49512","0.624"
"320.486","428.16174","0.63360006"
"324.2792","424.85455","0.63360006"
"327.6432","421.46722","0.63360006"
"331.05283","418.16095","0.63360006"
"338.94794","412.601","0.63360006"
"343.49832","410.39478","0.6528"
"346.80887","408.78967","0.6768"
"351.80093","404.6297","0.6672"
"355.00906","402.7315","0.6624"
"358.65475","400.3747","0.67200005"
"362.06427","398.1706","0.6912"
"364.71985","395.9568","0.68160003"
"367.5616","393.75226","0.6768"
"371.5751","389.7757","0.6672"
"378.07935","386.96155","0.6528"
"381.80246","383.92468","0.65760005"
"385.10406","380.29303","0.6624"
"388.50394","377.72412","0.6624"
"392.60632","374.96967","0.6528"
"397.22345","371.5951","0.63360006"
"406.30695","364.98895","0.63360006"
"410.9132","361.63885","0.64320004"
"416.20572","358.38336","0.63360006"
"419.9375","356.21213","0.624"
"425.55472","351.89963","0.6144"
"431.09943","348.4913","0.6096"
"435.4282","345.17343","0.6144"
"439.23932","341.8574","0.6144"
"442.6217","339.8304","0.6144"
"447.32916","337.6283","0.62880003"
"455.25433","331.5765","0.6384"
"459.2385","329.19687","0.6384"
"462.1611","327.57742","0.68160003"
"465.63373","324.2859","0.65760005"
"469.3856","320.38367","0.64320004"
"473.0241","317.70782","0.6528"
"476.11835","314.461","0.6528"
"479.98462","311.47708","0.6624"
"485.05063","306.40546","0.648"
"488.17877","303.37213","0.6384"
"491.6001","300.05447","0.6384"
"500.20453","295.67453","0.65760005"
"504.17603","293.01663","0.68160003"
"507.15454","290.95355","0.68160003"
"511.53296","287.05054","0.6768"
"516.80927","282.54065","0.67200005"
"521.59485","278.48016","0.6624"
"526.1548","275.40262","0.648"
"530.8296","271.9443","0.64320004"
"534.3125","269.24243","0.64320004"
"539.9673","264.33078","0.648"
"544.0662","261.83725","0.648"
"547.2182","259.88928","0.65760005"
"552.5671","256.74283","0.63360006"
"555.5625","255.0","0.624"
"561.1778","251.55893","0.61920005"
"566.1827","248.52567","0.6144"
"571.04193","245.58069","0.60480005"
"574.7772","243.61697","0.5952"
"579.28186","241.53","0.57600003"
"583.8622","239.30927","0.5712"
"587.9639","238.27408","0.59040004"
"592.754","235.90714","0.5856"
"601.83923","232.49353","0.58080006"
"605.9388","231.38925","0.58080006"
"609.0359","230.53119","0.58080006"
"610.9995","230.43445","0.57600003"
"615.55334","228.94235","0.58080006"
"619.5042","227.66531","0.5952"
"622.3431","226.74774","0.6144"
"625.934","226.8182","0.6096"
"628.50494","224.92441","0.6144"
"631.1023","221.69421","0.61920005"
"627.64526","224.47519","0.5952"
"624.07477","227.9578","0.5952"
"620.5501","229.39996","0.6144"
"617.0701","232.932","0.6144"
"614.7774","235.87589","0.6"
"611.57806","238.86371","0.57600003"
"609.7006","242.25153","0.56640005"
"607.19617","245.06525","0.5712"
"604.1343","248.60132","0.58080006"
"601.93726","251.28818","0.5856"
"599.6866","255.78964","0.5856"
"597.8286","258.61035","0.5856"
"593.8063","260.68082","0.58080006"
"591.4291","262.63077","0.58080006"
"588.406","266.3261","0.6"
"584.928","269.5547","0.6144"
"581.20624","273.16367","0.61920005"
"579.208","275.8085","0.6096"
"576.3959","279.99997","0.5952"
"573.80334","282.1604","0.60480005"
"569.94257","286.69107","0.6144"
"566.0293","289.5218","0.62880003"
"562.9187","292.03543","0.63360006"
"558.56134","296.33447","0.63360006"
"554.7832","298.43314","0.62880003"
"551.35315","302.11212","0.64320004"
"547.2817","306.0602","0.6672"
"544.5457","308.71326","0.67200005"
"540.76355","313.1297","0.67200005"
"536.66974","316.95667","0.648"
"534.4779","319.7166","0.63360006"
"531.47107","323.36844","0.6384"
"527.87164","326.01285","0.648"
"523.51587","327.962","0.65760005"
"520.6386","331.2899","0.6528"
"517.8351","334.00842","0.648"
"514.3396","335.83273","0.64320004"
"511.21204","338.43555","0.6528"
"507.7959","341.2256","0.6624"
"504.56708","343.7116","0.67200005"
"500.83984","346.74557","0.6912"
"498.1206","349.4891","0.68160003"
"494.6994","352.80667","0.67200005"
"491.57843","355.83304","0.65760005"
"488.97635","356.52432","0.64320004"
"485.55344","357.1836","0.6384"
"482.40674","359.81177","0.6528"
"480.69305","362.8698","0.68640006"
"478.87952","365.80078","0.6672"
