"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","akhilesh tyagi","nexus-03"
"274.0","724.0","akhilesh tyagi","nexus-03"
"356.0","105.0","akhilesh tyagi","nexus-03"
"454.0","391.0","akhilesh tyagi","nexus-03"
"X","Y","PRESSURE"
"289.625","741.9697","0.062400002"
"286.28833","743.2639","0.3984"
"283.20145","743.1818","0.53760004"
"282.70428","739.9299","0.57600003"
"282.75","737.02203","0.5952"
"282.75","733.19336","0.6"
"282.75","729.3929","0.60480005"
"282.75","726.28815","0.624"
"283.46707","723.3415","0.6096"
"283.375","720.60034","0.6"
"283.375","716.40356","0.6"
"283.375","713.4037","0.6096"
"284.87094","710.4644","0.6096"
"285.43228","706.3638","0.6144"
"286.05774","702.72473","0.6144"
"285.875","699.6703","0.6144"
"285.875","696.4011","0.6144"
"285.875","692.39075","0.61920005"
"285.875","689.64886","0.624"
"285.875","686.12366","0.624"
"285.875","682.4113","0.61920005"
"285.875","678.48505","0.61920005"
"285.875","676.4056","0.61920005"
"285.875","672.7231","0.61920005"
"285.875","669.495","0.624"
"285.875","666.29156","0.624"
"285.875","663.387","0.62880003"
"285.875","660.61945","0.62880003"
"285.875","656.8714","0.63360006"
"285.875","654.36334","0.6384"
"285.875","651.11914","0.648"
"285.875","648.621","0.648"
"285.875","645.2141","0.6624"
"285.875","642.04224","0.648"
"285.875","639.0111","0.6384"
"285.875","636.3384","0.63360006"
"285.875","633.26276","0.63360006"
"285.875","630.24493","0.64320004"
"285.875","626.8909","0.64320004"
"285.875","624.2374","0.648"
"282.74426","624.394","0.6528"
"279.54337","625.0158","0.65760005"
"276.10812","625.0","0.65760005"
"273.1873","625.0","0.65760005"
"269.7661","625.0","0.6672"
"266.98663","625.0","0.68160003"
"270.29016","623.15845","0.6528"
"273.62802","622.52673","0.6528"
"276.57632","621.33405","0.65760005"
"279.65137","618.91895","0.67200005"
"281.726","615.5438","0.67200005"
"284.31177","612.50085","0.6768"
"284.65012","609.7267","0.6768"
"285.27985","606.6735","0.68640006"
